iteration,success,beta_const,beta_ga_c,beta_first_bmi_c,beta_delta_bmi,beta_ga_hinge_18,random_intercept_var,residual_var,icc,warnings
0,True,-2.669271020312227,0.015083044972397743,-0.04455668023304564,0.03127958664800939,0.050950547798644004,0.17029064785646217,0.06605102696878379,0.7205273804646483,
1,True,-2.648348232576852,0.017471554291496695,-0.049227987322117084,0.030182446413315436,0.042877373373655894,0.15514414629272252,0.07177051470904348,0.6837114252900349,
2,True,-2.664514315399053,0.017351782199815896,-0.046559898884607626,0.024016349942005733,0.03732923119124352,0.16720141358301505,0.07055807900927186,0.7032375942597346,
3,True,-2.648823845767486,0.026246519648146137,-0.055063812090764615,0.033660411263140705,0.032811351137268706,0.1845815384867901,0.07142578398755742,0.72100101162257,
4,True,-2.6319747990851203,0.02837163272368764,-0.016982023561034693,0.013152702306442712,0.02814364936806063,0.1790329965523057,0.06989895549035377,0.71920456608007,
5,True,-2.619364160560805,0.020639646754629263,-0.024577278965876442,0.010222216108927738,0.04949787250805214,0.1767172643462093,0.06266871223401155,0.7382105955859508,
6,True,-2.6717703451058448,0.01864216551027409,-0.02645807174627916,0.01374480830131692,0.050361827489248,0.2002042024306682,0.0659036244645163,0.7523424048309761,
7,True,-2.6003356892995244,0.028703719608721805,-0.03639395545780431,-0.005640864255853942,0.02930240334932442,0.18821083422794435,0.065413660669428,0.7420846093911502,
8,True,-2.615787665030978,0.021684323697661628,-0.03824646858614708,0.02736752777226939,0.03534882131269476,0.18263078620459652,0.06147038055372989,0.7481766213162392,
9,True,-2.660770134431543,0.02004239666968848,-0.03601633281114403,0.029576232873817103,0.04707980134182242,0.16539268910368085,0.07007867409511051,0.7023898229359288,
10,True,-2.6726895136307824,0.022853100453182746,-0.02195037959380672,-0.001582396029897306,0.050007310046428985,0.18272184034430214,0.05969515710194042,0.7537501176452027,
11,True,-2.646372556992401,0.021403847171300464,-0.043429843879583555,0.009199791720477432,0.04293379805352347,0.19160316792671525,0.075309898609528,0.7178485879809787,
12,True,-2.576893533953414,0.02213892893855611,-0.03950877286652564,-0.012378763940431631,0.048073177619951786,0.18650730492975312,0.07074392384572548,0.7250006377716132,
13,True,-2.597102423357482,0.028062088863692585,-0.05039249569265311,-0.009314378388553392,0.029207828089320848,0.15864431413240432,0.07162621897892724,0.688947526150481,
14,True,-2.637147502965624,0.025177507485865364,-0.0357929423659651,-0.009309602331074064,0.03560077589062,0.16130694741966917,0.0796957996495329,0.6693158039951767,
15,True,-2.6540401493332846,0.025274816740439805,-0.025653776263203268,0.005739808950879943,0.03398625606091966,0.17057942644377658,0.07407889358891721,0.6972149012589557,
16,True,-2.6221200252281465,0.022316865076273503,-0.034670932783315414,0.02856751958316015,0.031002851479506488,0.16144292836710705,0.07124039349115534,0.6938311137978724,
17,True,-2.536849633888499,0.0278596964403277,-0.04187469159764677,0.01114767585633816,0.024003370011197612,0.17075425806152397,0.06384163030654319,0.7278655190819908,
18,True,-2.609400469578188,0.027220356708586975,-0.04865607175722975,0.01720726987488869,0.041367718555911835,0.19582522011412382,0.0692855786026769,0.73865425724627,
19,True,-2.6003122840945494,0.03143151201905765,-0.04143236029423053,0.0069461224936295425,0.030131750768840195,0.17908689457582827,0.07086432064551401,0.7164873930188309,
20,True,-2.656619648673706,0.0245024824534168,-0.02959223169762572,0.008965485670208495,0.04101700520558099,0.1727793704982672,0.0739895733980254,0.7001665921578838,
21,True,-2.6398704243086066,0.031894334965958136,-0.03630976514212639,0.017199367821355678,0.015454074488434508,0.18551325178010003,0.07398479361377,0.7148926748119634,
22,True,-2.66089182793358,0.013316817546559612,-0.0436266607845201,0.016958108321324297,0.049048687771649536,0.1487755187435488,0.07626483216908578,0.661105966730858,
23,True,-2.61796238028546,0.02960459746815956,-0.026817861905494338,0.000868313618948952,0.03882554022059963,0.17704773679961833,0.07604281684997545,0.6995430459437162,
24,True,-2.644517864447275,0.029554892834957616,-0.03526172761339879,0.010699200342713638,0.03635457106197224,0.17900535152536434,0.06794807874832882,0.7248546874889593,
25,True,-2.6629528134261915,0.02203262251115326,-0.0478743080993056,0.02319117533597314,0.040113638806221825,0.18188904369145856,0.06329694418865961,0.741841103009491,
26,True,-2.5757511337077243,0.02762317739559696,-0.05097346756528961,-0.019164716581139725,0.02288228141281831,0.1733756536000437,0.0684385371938272,0.716978821759199,
27,True,-2.6291034754342557,0.016693688676896808,-0.04495784286395179,0.009964561375790291,0.044730414926019695,0.16946540540048805,0.07078662116699332,0.7053651443514007,
28,True,-2.6430767804451105,0.022250374358592777,-0.037945459238355315,0.024890309334341044,0.04452924609014091,0.19016486880150357,0.06191029837405668,0.75439747172343,
29,True,-2.6588456833452883,0.018817767258203652,-0.02417624085444654,0.019257442987872724,0.054586287603802255,0.18394101738071295,0.07064316823998797,0.7225154890601195,
