iteration,sigma_tech
0,0.00510605052877505
1,0.006285545037130735
2,0.006239382658697145
3,0.0066021116421017935
4,0.007206184804623913
5,0.004888502252535247
6,0.006338418405135309
7,0.006629567922604947
8,0.006829394118508916
9,0.00689943987696656
10,0.005678741353932079
11,0.00620100914852655
12,0.004135530996791837
13,0.005978344563705826
14,0.005292727331174333
15,0.006159939912837789
16,0.006634385007046119
17,0.006532720584974455
18,0.005976661303016644
19,0.005171391730343907
20,0.005298696192635614
21,0.0069211909158226155
22,0.005398015806301735
23,0.00701676869573357
24,0.005306398620685414
25,0.005863800171984759
26,0.006008539405809009
27,0.006599670330248199
28,0.006482912461428488
29,0.005098720131592895
30,0.006393207396369295
31,0.00588018301400358
32,0.0066592038113823535
33,0.006052772166241838
34,0.006666365972234343
35,0.006013941199078549
36,0.006466764546108279
37,0.007222462437916953
38,0.006580154417381749
39,0.006057293908723098
40,0.00638538319982593
41,0.006096252956516483
42,0.006324595365890933
43,0.005783876892296091
44,0.005513855058408085
45,0.005900431645864126
46,0.005562826900088417
47,0.006245227629581363
48,0.005452030625065996
49,0.005894362906297434
50,0.005501974414032491
51,0.006547558749937471
52,0.006016950829482876
53,0.005608543360232048
54,0.005840500968134186
55,0.0061423697506154075
56,0.006198002949298842
57,0.006166575367859695
58,0.005929905436724376
59,0.005943892636268739
60,0.006857486891495373
61,0.006395453801750445
62,0.006399550010812893
63,0.006987900455113549
64,0.006629746376986628
65,0.007230920658904441
66,0.0056556568889956915
67,0.006069233058399083
68,0.00646893766500761
69,0.005390096031169964
70,0.005064994555264273
71,0.005831666082068912
72,0.006480409781968088
73,0.006202906599256473
74,0.005863352391411693
75,0.006644787451460622
76,0.005718221732073496
77,0.00503949788797859
78,0.005591342861385352
79,0.006404666550391567
80,0.007030712299957011
81,0.006330617729141976
82,0.005865327730102215
83,0.006319553788484802
84,0.00498821167383861
85,0.004651165541932732
86,0.006483908971981366
87,0.006049941709172105
88,0.006240072251001692
89,0.006164962120509285
90,0.0063140641014891655
91,0.005428776050943478
92,0.006820748993565362
93,0.006420659046762816
94,0.006203337376084311
95,0.006069494463297753
96,0.005979521955788042
97,0.006595070245897574
98,0.005943568661120722
99,0.006394829658449281
100,0.005630105186017509
101,0.006046434298212219
102,0.006165844284341942
103,0.005929204588529515
104,0.0066546549386495134
105,0.005774812807317989
106,0.005287157238349515
107,0.00534285741469424
108,0.005347003498802551
109,0.006490005623554442
110,0.005441012268944006
111,0.005544515606392904
112,0.006466494038947546
113,0.005896766810571064
114,0.006316465061057144
115,0.005728385207986176
116,0.00587019453895969
117,0.005672137840735554
118,0.006379531326595667
119,0.005708773432717472
120,0.006073672584904762
121,0.005650290076627924
122,0.0061896649786936965
123,0.006958452016027403
124,0.007536796038428876
125,0.004990064297343918
126,0.006637680769143495
127,0.006209507205161445
128,0.006541328059406302
129,0.007033844096513912
130,0.005972862119730495
131,0.007358391056079738
132,0.00605531908562863
133,0.00559613737470233
134,0.005866254923089653
135,0.006391649820474796
136,0.006199884221153549
137,0.005289300378800168
138,0.006136559599225767
139,0.005646300807085346
140,0.006293486291501791
141,0.005899369438774624
142,0.007105161435167793
143,0.0056240191869999885
144,0.0068370617734208805
145,0.006156816101374349
146,0.005200444054693672
147,0.006676884735269931
148,0.006137675566469712
149,0.005619783651344815
150,0.0061879458844824
151,0.005477969820096379
152,0.006092583549393234
153,0.007046347359662048
154,0.005996724414587539
155,0.007738511490545101
156,0.005351529632490289
157,0.0051196610301525915
158,0.006510922382331574
159,0.005588036142981443
160,0.006147576875299537
161,0.005106362782562901
162,0.005613131983899009
163,0.006733229222561589
164,0.00573355105951394
165,0.005830462977005277
166,0.005343139266887942
167,0.006332989842922385
168,0.006588394335335841
169,0.0063785517189883815
170,0.005304747285600904
171,0.005585913479320133
172,0.006616434978703259
173,0.006220807471837705
174,0.007520971458760299
175,0.006137690322390852
176,0.005554878247880954
177,0.005334285731445695
178,0.0066185215909438985
179,0.0060592594275202345
180,0.006382834795625143
181,0.0065380480901136035
182,0.00655239893798194
183,0.006439736803644654
184,0.005457283469530018
185,0.005963355431423083
186,0.006194993567353477
187,0.00645664179329995
188,0.005840609065395295
189,0.006109226250883773
190,0.006066208483028038
191,0.006761534524564066
192,0.006545146250421953
193,0.004889323461961268
194,0.005593301588571077
195,0.005840989892871737
196,0.006309772529825131
197,0.005761096342786185
198,0.006142741100974289
199,0.005747527873748483
200,0.00603075406326526
201,0.005869926295162847
202,0.005762176386013604
203,0.006796296664821596
204,0.005754373326670566
205,0.005815027885903895
206,0.005845179486851215
207,0.005925929126660176
208,0.005679725691677306
209,0.006300907023330507
210,0.005819004320726912
